score_rank,site_id,name,terrain_type,area_sqm,is_manual_sample,evaluated_at,airport_score,population_score,ecology_safety_score,noise_safety_score,total_score,nearest_airport_name,nearest_airport_city,nearest_airport_country,nearest_airport_m,nearest_airport_km,airport_count_80km,raw_population_25km,weighted_population_25km,population_grid_count_25km,nearest_ecology_name,nearest_ecology_type,nearest_ecology_m,nearest_ecology_km,intersects_protected_area,nearest_sensitive_name,nearest_sensitive_type,nearest_sensitive_level,nearest_sensitive_m,nearest_sensitive_km,high_sensitive_count_3km,high_sensitive_count_5km,method_note,data_source
41,35,Kromhoutpark,park,59126.94,f,2026-06-21,90.21,39.61,3.82,3.56,38.62,Vliegbasis Gilze-Rijen,,,9792,9.79,12,1141049,91284,2093,Regte Heide & Riels Laag,B,3818,3.82,f,OBS De Vuurvogel,school,4,356,0.36,45,70,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=9792, sensitive_m=356, ecology_m=3818, weighted_population_25km=91284","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
42,34,Spoorpark,park,74426.63,f,2026-06-21,90.19,39.70,4.68,2.65,38.58,Vliegbasis Gilze-Rijen,,,9807,9.81,12,1143824,91506,2098,Regte Heide & Riels Laag,B,4682,4.68,f,Theresialyceum,school,4,265,0.27,44,70,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=9807, sensitive_m=265, ecology_m=4682, weighted_population_25km=91506","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
43,29,Quirijnstokpark,park,166718.38,f,2026-06-21,87.65,41.81,2.78,2.14,37.84,Vliegbasis Gilze-Rijen,,,12346,12.35,12,1204600,96368,2116,Loonse en Drunense Duinen & Leemkuilen,B,2783,2.78,f,'t Hazenest,school,4,214,0.21,31,59,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=12346, sensitive_m=214, ecology_m=2783, weighted_population_25km=96368","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
44,17,Het Leijpark,park,299391.94,f,2026-06-21,87.58,42.69,2.30,0.82,37.61,Vliegbasis Gilze-Rijen,,,12423,12.42,12,1229898,98392,2134,Kampina & Oisterwijkse Vennen,B,2304,2.30,f,Onderwijscentrum Leijpark,school,4,82,0.08,29,65,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=12423, sensitive_m=82, ecology_m=2304, weighted_population_25km=98392","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
45,49,De Spaendershorst,camp_site,102200.40,f,2026-06-21,86.06,39.14,0.23,6.63,37.31,Vliegveld Weelde,,,13940,13.94,16,1127673,90214,2097,Kempenland-West,B,233,0.23,f,Samenwijs Torenlei,school,4,663,0.66,9,13,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=13940, sensitive_m=663, ecology_m=233, weighted_population_25km=90214","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
46,2,Biddinghuizen event-field candidate,events_venue,880000.00,t,2026-06-21,85.05,22.08,0.00,23.87,37.00,Lelystad Airport,,,14949,14.95,6,636210,50897,2383,Veluwerandmeren,C,0,0.00,t,Ds. Baxschool,school,4,2387,2.39,4,13,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=14949, sensitive_m=2387, ecology_m=0, weighted_population_25km=50897",Manual sample based on the plan's OSM candidate-site categories; for workflow validation.
47,33,Camping De Scheepsbel,camp_site,205429.00,f,2026-06-21,77.41,24.88,0.00,16.78,33.64,Lelystad Airport,,,22589,22.59,5,716697,57336,2112,Veluwe,C,0,0.00,t,OSM sensitive facility 1499370436,school,4,1678,1.68,5,7,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=22589, sensitive_m=1678, ecology_m=0, weighted_population_25km=57336","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
48,24,Camping Veluwemeer,camp_site,79965.22,f,2026-06-21,79.48,20.22,0.00,12.28,31.97,Lelystad Airport,,,20516,20.52,5,582499,46600,2108,Veluwerandmeren,C,1,0.00,f,De Wildemaet,school,4,1228,1.23,5,7,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=20516, sensitive_m=1228, ecology_m=1, weighted_population_25km=46600","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
49,44,Camping de Witte Wieven,camp_site,189492.66,f,2026-06-21,78.28,24.48,0.00,4.57,30.75,Lelystad Airport,,,21723,21.72,6,705167,56413,2106,Veluwe,C,0,0.00,t,OSM sensitive facility 1499370436,school,4,457,0.46,4,6,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=21723, sensitive_m=457, ecology_m=0, weighted_population_25km=56413","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
50,48,Camping Landgoed Old Putten,camp_site,51076.96,f,2026-06-21,77.78,20.21,1.33,3.01,29.41,Lelystad Airport,,,22223,22.22,5,582359,46589,2089,Veluwerandmeren,C,1326,1.33,f,Prins Willem Alexander School,school,4,301,0.30,5,7,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=22223, sensitive_m=301, ecology_m=1326, weighted_population_25km=46589","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
