festival,edition_year,weekend_code,official_performance_id,performance_name,official_stage_id,stage_name,official_artist_ids,artist_names,performance_date,day_name,start_time_local,end_time_local,source_file,capture_timestamp,source_url_hint
Tomorrowland,2025,W1,2043283497,Amber Broos b2b MANDY,1784482349,THE GATHERING,1262705755|1262709306,Amber Broos|MANDY,2025-07-17,THURSDAY,2025-07-17 20:00:00+02:00,2025-07-17 21:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,2043463351,Antdot,2043457055,THE GATHERING - STAGE II,1262718587,Antdot,2025-07-17,THURSDAY,2025-07-17 20:00:00+02:00,2025-07-17 22:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,2043284794,Oliver Heldens,1784482349,THE GATHERING,1532622365,Oliver Heldens,2025-07-17,THURSDAY,2025-07-17 21:00:00+02:00,2025-07-17 22:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,2043394528,R3HAB,1784482349,THE GATHERING,1361073186,R3HAB,2025-07-17,THURSDAY,2025-07-17 22:00:00+02:00,2025-07-17 23:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,2043464619,Prinz,2043457055,THE GATHERING - STAGE II,1576010712,Prinz,2025-07-17,THURSDAY,2025-07-17 22:00:00+02:00,2025-07-18 00:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,2043395286,Sub Zero Project,1784482349,THE GATHERING,1546635513,Sub Zero Project,2025-07-17,THURSDAY,2025-07-17 23:00:00+02:00,2025-07-18 00:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,1784848456,MC Rim,1784481918,ELIXIR,1536102487,MC Rim,2025-07-18,FRIDAY,2025-07-18 12:00:00+02:00,2025-07-18 12:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,1786597932,Emilija,1784482154,ATMOSPHERE,1536149852,EMILIJA,2025-07-18,FRIDAY,2025-07-18 14:00:00+02:00,2025-07-18 15:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,1784866913,Spitnoise b2b Pinotello,1784481973,CAGE,1784876989|1784878745,Spitnoise|Pinotello,2025-07-18,FRIDAY,2025-07-18 14:00:00+02:00,2025-07-18 15:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,2057797731,Toolate Groove,1784482189,CORE,1536126123,Toolate Groove,2025-07-18,FRIDAY,2025-07-18 14:00:00+02:00,2025-07-18 15:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
