artist_name,genre_name,source,confidence,source_url
Fideles,deep house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Fideles,house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Fideles,melodic house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Fideles,melodic techno,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Fideles,peak time techno,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Fideles,tech house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Fideles,techno,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Firebeatz,electro house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Firebeatz,future house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Firebeatz,progressive house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Fisher,detective fiction,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Fisher,drama film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Fisher,public art,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Fisher,tech house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Fisher,thriller,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Ftampa,big room house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Ftampa,electro house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Ftampa,electronic dance music,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Ftampa,progressive house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Galactixx,hardstyle,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Gino,drama film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Girls Don't Sync,house music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Goodboys,hip-hop,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Goodboys,house music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Goodboys,pop rap,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Goodboys,trap music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Gordo,dubstep,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Gordo,electro house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Gordo,electronic dance music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Gordo,hip hop culture,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Gordo,trap music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
HALO,k-pop,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hannah Laing,hard house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hannah Laing,techno,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hannah Laing,trance,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hard Driver,racing video game,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hard Driver,sports video game,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hardwell,dutch house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hardwell,edm trap music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hardwell,electro house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hardwell,hardstyle,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Henri PFR,tropical house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hi-Profile,psytrance,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Hide N Seek,action film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
