festival,edition_year,official_event_id,name,title,location,start_date,start_time,end_date,end_time,minimal_age,state,currency,category_count,category_titles,source_url_hint,source_file,confidence
Awakenings Festival,2025,135,Beekse Bergen,Awakenings Festival 2025,Beekse Bergen [NL],2025-07-11,00:00:00,2025-07-13,00:10:00,18,available,EUR,5,The Grand Camping|The Comfort camping|Friends Field - Grand Camping and Comfort Camping|Hotels near Tilburg|Hotels near Schiphol Airport,https://www.awakenings.com/en/shop/awakenings-festival-2025-accommodations/368148,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\awakenings_capture_2025\awakenings_current_www.awakenings.com_en_shop_awakenings-festival-2025-accommodations_368148\Awakenings_Summer_Festival_https_d1tbov4skw93c6.cloudfront.net_3cac7f43b0408c7fa7849194c95587ee_en_settings.txt,current_official_shop_json
Awakenings Festival,2025,135,Beekse Bergen,Awakenings Festival 2025,Beekse Bergen [NL],2025-07-11,00:00:00,2025-07-13,00:10:00,18,available,EUR,5,The Grand Camping|The Comfort camping|Friends Field - Grand Camping and Comfort Camping|Hotels near Tilburg|Hotels near Schiphol Airport,https://www.awakenings.com/en/shop/awakenings-festival-2025-main/375194,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\awakenings_capture_2025\awakenings_current_www.awakenings.com_en_shop_awakenings-festival-2025-main_375194\Awakenings_Summer_Festival_https_d1tbov4skw93c6.cloudfront.net_3cac7f43b0408c7fa7849194c95587ee_en_settings.txt,current_official_shop_json
Awakenings Festival,2025,135,Beekse Bergen,Awakenings Festival 2025,Beekse Bergen [NL],2025-07-11,00:00:00,2025-07-13,00:10:00,18,available,EUR,5,The Grand Camping|The Comfort camping|Friends Field - Grand Camping and Comfort Camping|Hotels near Tilburg|Hotels near Schiphol Airport,https://www.awakenings.com/en/shop/awakenings-festival-2025-main/375194/day-tickets/,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\awakenings_capture_2025\awakenings_current_day_tickets_route\Awakenings_Summer_Festival_https_d1tbov4skw93c6.cloudfront.net_3cac7f43b0408c7fa7849194c95587ee_en_settings.txt,current_official_shop_json
Awakenings Festival,2025,135,Beekse Bergen,Awakenings Festival 2025,Beekse Bergen [NL],2025-07-11,00:00:00,2025-07-13,00:10:00,18,available,EUR,5,The Grand Camping|The Comfort camping|Friends Field - Grand Camping and Comfort Camping|Hotels near Tilburg|Hotels near Schiphol Airport,https://www.awakenings.com/en/shop/awakenings-festival-2025-weekend/367651,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\awakenings_capture_2025\awakenings_current_www.awakenings.com_en_shop_awakenings-festival-2025-weekend_367651\Awakenings_Summer_Festival_https_d1tbov4skw93c6.cloudfront.net_3cac7f43b0408c7fa7849194c95587ee_en_settings.txt,current_official_shop_json
Awakenings Festival,2025,135,Beekse Bergen,Awakenings Festival 2025,Beekse Bergen [NL],2025-07-11,00:00:00,2025-07-13,00:10:00,18,available,EUR,5,The Grand Camping|The Comfort camping|Friends Field - Grand Camping and Comfort Camping|Hotels near Tilburg|Hotels near Schiphol Airport,https://www.awakenings.com/en/shop/awakenings-festival-2025-weekend/367651/weekend-tickets/,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\awakenings_capture_2025\awakenings_current_weekend_tickets_route\Awakenings_Summer_Festival_https_d1tbov4skw93c6.cloudfront.net_3cac7f43b0408c7fa7849194c95587ee_en_settings.txt,current_official_shop_json
