festival,edition_year,official_artist_id,artist_name,image_url,website,instagram,spotify,source_file,capture_timestamp,source_url_hint
Tomorrowland,2025,1262710270,Sara Landry,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/135386184-VENOM_PORTRAIT_FINAL.jpg,,https://web.archive.org/web/20250719183439/https://www.instagram.com/saralandrydj/,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1893769082,Sarah Story,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/124081130-SS20251035.jpg,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W2-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W2-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784872803,Satirized,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/114209972-SATIRIZED.jpeg,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W2-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W2-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1262706768,Sebastian Ingrosso,https://web.archive.org/web/20250719183439/https://artist-lineup-assets.b-cdn.net/16607399-large-SEBASTIAN INGROSSO 1.jpg,,https://web.archive.org/web/20250719183439/https://www.instagram.com/sebastianingrosso/,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1950867771,Sebsky,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/124080744-2025-05-07 18.33.57.jpg,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1790414478,Seelen,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/114210212-Foto Seelen 2.jpg,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W2-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W2-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1788915577,Sem Jacobs,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/118282432-SJ 3.jpg,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1731988606,Semsei,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/98143404-SEMSEI-4.jpg,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1790072940,Sennix,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/114211638-IMG_1909.JPG,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1944522489,Sentin,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/126511753-VAS00551.jpg,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W2-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W2-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
