festival,edition_year,weekend_code,start_datetime_local,end_datetime_local,with_timetable,source_file,capture_timestamp,source_url_hint
Tomorrowland,2025,W1,2025-07-17 12:00,2025-07-21 01:00,True,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_config-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/config-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W2,2025-07-24 12:00,2025-07-28 01:00,True,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_config-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/config-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
